Tried a cymbalta & didn't hurt all over for half a day. Does this mean the mysterious pain no one can diagnose actually *is* fibromyalgia?	0
@kamiekaymee @Psycholyst then i recommend trazodone or ambien.	0
@rickmikemax get a #lozenge or some oxygen #CHIvsLAK	0
However, the results are impressive: 2.1% event rate for intervention arm vs 3.0% in control. i.e fewer events with rivaroxaban. #JC_StE	0
Everytime i say Humira, remicade, cimzia, etc GSK tweets me. Send me some cimzia or be gone! And make it affordable	0
@Jakefletcha @Becki_65roses Cipro is real bad on your entire body!  Take it from me (on disability since '09 thanks to just 12 pills).	1
True story: Li'l Baby Lozenge woke up crying and the clock said 4:20 a.m., so I thought of you guys.	0
i have been on lorazepam / diazepam / quetiapine for the past few nights and i've noticed i am slightly drooling a bit. lovely.	1
@Hollycat2013 go to urgent care. Get an antibiotic shot and or levaquin. Try Zyrtec and mucinex D over the counter too!!	0
Humira, because cancer is better than arthritis.	0
im gonna name this voice in my head Mr. Prozac	0
@raCanuck I had a weird rash w/ Enbrel. But it was all over my abdomen & chest. Rash in elbow cld b psoriasis? Can u take a pic?	1
Come on @SportsCenter Someone give PJ a throat lozenge or some tea.	0
@1D_Amore @miafierro stfu!! Lol whatever cymbalta.	0
#Portola announces Factor Xa inhibitor #PRT4445 reverses anticoagulant activity of #Eliquis at #ISTH3013 http://investors.portola.com/phoenix.zhtml?c=198136&p=irol-newsArticle&ID=1834683&highlight= …	0
PAXIL WHY YOU NOT LET ME SLEEP?!?	0
@ChaseG56 What about trazodone, doxepin, or mirtazapine (Remeron)? Usually for insomniacs with depressions of a sort, but gets the job done.	0
Zoloft &Paxil & Buspar & Xanax Depakote, Klonopin, Ambien, Prozac Atavan calms me when i see the bills These are a few of my favorite pills	0
Lamotrigine, though significantly elevated in most brain metastases relative to surrounding brain	0
Bananas contain a natural chemical which can make a person happy. This same chemical is also found in Prozac.	0
Do you know what Meds are R for bipolar depression? Currently #FDA approved #quetiapine AKA Seroquel	0
FDA Approves Amgen's XGEVA® (denosumab) For The Treatment Of Giant Cell Tumor Of Bone	0
I just take my seroquel .... i close facebook i just let you open i wont make research for see pic of u i already see pix for stop smile	0
"Hahaha everyone's flippin out cus it's ""No Tobacco Day"" from today til 2nd June. Gonna have nicotine deprived crazies in the streets today"	0
Cipro is where u register ur business it's in pretoria,I was in Zeerust @ the time.	0
@LeBatardShow look up prolia commercial. It is for post-menopausal osteoporosis. The warnings say don't take if you're pregnant.	0
@LJ2510 I am planning to have mine in my 'London Underground' mug. It has a map on it. I am going to partake in a 'Venlafaxine'.	0
“@AllieGale: Like how am I not Cymbalta's new poster child?”	0
If you take Byetta, Victoza, or Januvia, read ÒIncretins Under Siege?  DonÕt Jump To ConclusionsÓ  @sixuntilme - http://ht.ly/meK5D 	0
the one time I'm glad for seroquel memory loss	0
Mimi's sounds like she eats coal and sand paper. She needs a lozenge or some theraflu or codeine or something	0
@PaxilParox no paxil you have to move people are trying to look at FA	0
I would love to switch my Zyprexa for Xanax.	0
No one likes me on my Vyvanse #TooChill #Zombiemode	1
Vyvanse run after work... Yep	0
FDA Approval of Latuda® (lurasidone HCl) as Monotherapy and Adjunctive Therapy in Adult Patients with Bipolar Depression -...	0
@flyjetwayne i on 2 steroid types at mo. 4wks of metronidazole. drug called Thioguanine & awaiting humira to be added to combo lol #druggie	0
@annakeax you'd wanna lozenge that shit up!	0
I got your prozac ready.. RT @Paulie_Bruz: If the #Mets go to Miami and lose this series let alone a game to the Marlins I will be FURIOUS	0
@Dreams_Blow I feel you on that one, I like to get all the THC before nicotine	0
*pops vyvanse* smh	0
Why's quetiapine not kicking in ?	0
I need a few Trazodone and a good nights sleep. See you guys. I really hope I wake up to storyline. *grins*	0
Ooo first nicotine lozenge of the day...making my headache go away...kinda #quitsmoking	0
okay i took the seroquel and i am resisting the urge to vomit it up i feel disgusting but oH WELL GOOD TIMES GOOD VIBES DON'T BE SAD	1
really wish I could have XR quetiapine but there's no generic for it so I'm just taking normal quetiapine before sleep, I don't know if >>	0
Keeping medications filled can be a full time job! #Marfan #metoprolol #losartan #simvastatin #warfarin #aspirin, etc...	0
Geodon IV does the trick every time.	0
I reckon I have drug-induced oedema causing musculo-skeletal pain. Likely drug combination: Rivaroxaban, Losartan, and Simvastatin.	1
Never been happier to have a lozenge #bainofmylife	0
@LouiseStockwell nah I generally tolerate the Tysabri well I think it's the fact it's a long day makes me tired	0
Trazodone is such an eerie medication,	0
@baybeecarrot  I have prescription Trazodone and Clonidine.  Pick your poison.	0
@tiredlegs I know. And I already had to have a number of pre-cancerous lesions removed before I started on quetiapine, starting age 30.	0
Somebody pass the cymbalta	0
@baybeecarrot  Trazodone But you might have troubles waking up in the morning. 1/2 tablet is enough for a night I could give you 10 for 10$?	0
Xarelto is a hell of a drug	0
@inarticulate I haven't had an orgasm in a long time.. Wtf.. #paxil	1
Do you know how badly I want a cigarette right now? But no. I manfully suffer through nicotine withdrawal—all for you #sacrifice	1
Do I feel weak because of running out of Symbicort 400/12, because of strenuous gardening, or because of Rivaroxaban (Xarelto)?	0
Nyquil at night, vyvanse in the morning. Drugged out	0
@virk_257_PTI f u.i wanted city to retain their title.you can now start your trazodone infusion to solve your #rvpvolley priapism.	0
I just gave myself the first two Humira shots. Easy and didn't hurt at all. Hope it works its magic now.	0
@Fatuglyew thing about venlafaxine is the withdrawals when you're late for a dose - it's like electric shocks in your brain, and they go -	1
So Cymbalta used to be an antidepressant, now it's an arthritis medicine. So it's the same medicine that does a completely different thing?	0
@SidneyKidney I am on divalproex, vimpat, & for chronic pain  to get it calmed down on lyrica (but the lyrica is being upped every 2 weeks)	0
@Get_Out_MyFace It was actually me. PLOT TWIST!!! Now text me back, or I will go into a depression that even cymbalta can't fix	0
You know some has has just took their Vyvanse when they favorite 10 or more Vyvanse Swag tweets in one sitting.	0
Off to see the gi consultant this week. Hope theres something other than humira to try as not working also hair falling out.	1
“@PeterGunders: @BenTupas what rhymes with orange? @abcsouthqld @ABCexhumed” Throat LOZENGE errrr?#poetry #overthecounter	0
@A_Wyatt20 i am on Keppra as well 3000mg a day. And now they want too switch me too Lamictal but I'm unsure cause keppra is working	0
@NICKIMINAJ smoked out...weed and nicotine.	0
I've got people being jerks, people ignoring me, and I'm severely depressed. I'm going to bed. Maybe an extra Seroquel is in order?	0
Humira approved in Japan for ulcerative colitis; self-injectable administration provides convenience benefits over other iv options	0
@tombrazelton I see what you did, there....and I love it. (Though Paxil didn't do well for me.) :p	0
This vyvanse is amazing!!! Fuck adderal	0
@AdamSessler Wouldn't a strepsil or some kind of throat lozenge be better?	0
Enbrel Monday, and Dusty is off today. He's sleeping in, so I did the shot alone. Got Oberon rumbling in my ear. Ready to start his book!	0
08.55 day 21 Rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. No more fluid retention. More mobile.	1
Do you know what Medications R 4 bipolar depression? Currently #FDA approve combination of #olanzapine & #fluoxetine	0
@bjamovealot So I'm 22 going on 40's?! Actually I must be even older bc I've got twice that many. And Enbrel is an ass.	0
@angelreader I have no fluoxetine. Unfortunately. Just lots of caffeine.	0
Limu lean mixed with a BluFrog mixed with a Vyvanse really makes me feel like I can run a marathon.	0
Nicotine is so stress relieving.	0
Post concert depression hurts... CYMBALTA can help	0
@_RubyRouge_ I'm reducing duloxitine (been on 6 yr) and slowly increasing M but slept 13-14 hrs solid and still feel wasted	1
The Trenton Thunder bat dog looks Prozac-commercial depressed, y'all. @therealarieber @CDerespinapic.twitter.com/qkUMgL2oP2	0
@LesbianGaze you need to take cymbalta on a regular schedule for a couple of months to see a lasting effect.	0
TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers). #TravelSkills	0
@pillmanuk I have made my customary offering to them by burning some trainee tech test papers on a fire made primarily of fluoxetine boxes	0
“@torilebleu: I need a vyvanse. Right meow.”	0
@kellikathleen_ haha sure, come scoop me! I'm at the Monterrey oaks apts by my house. Bring me a vyvanse please?! );	0
The studying marathon is over folks.  About to dream about drugs all night #diuretics #benzodiazepines #digoxin #metoprolol 	0
“@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.” @TimWDunn	0
God humira shots blow so bad... #painful #crohnssucks	1
"Dr John buse: most impressive at #2013ada Victoza+degludec= -1.9% A1c reduction ""insulin on steroids"" bit of weight loss too #dTTCOYD"	0
@AlexKennedyNBA same for you man !!! Just had my remicade today do yoy do remicade or humira?	0
@MeganLCowan Venlafaxine, generic for Effexor. It's been the only med that REALLY helped in the 20 years I've had FM but...	0
