Vyvanse	O
,	O
commonly	O
known	O
as	O
OCD	B
in	O
a	O
pill	O
.	O

@	O
MTV	O
When	O
are	O
you	O
going	O
to	O
do	O
True	O
Life	O
:	O
I	O
am	O
addicted	B
to	O
Vyvanse	O
?	O

@	O
upasbook	O
Great	O
read	O
as	O
always	O
.	O
I	O
was	O
on	O
Cymbalta	O
for	O
5	O
days	O
.	O
Cold	O
turkey	O
had	O
sweats	B
,	O
migraine	B
,	O
tremors	B
while	O
on	O
&	O
3	O
days	O
after	O
.	O

I	O
wonder	O
if	O
seroquel	O
/	O
then	O
/	O
food	O
still	O
equals	O
restless	B
legs	I

Rivaroxaban	O
diary	O
day	O
22	O
.	O
Last	O
tablet	O
taken	O
Tuesday	O
18th	O
,	O
4	O
days	O
ago	O
.	O
Woken	O
up	O
in	O
pain	B
.	O
Bad	O
fluid	B
retention	I
(	O
uneven	O
)	O
on	O
both	O
legs	O
.	O

Every	O
since	O
I	O
stopped	O
taking	O
that	O
Paxil	O
I	O
haven't	O
been	O
so	O
damn	O
emotional	B
.	O
.	O
.	O
.	O
.	O
I	O
think	O
!	O

Cymbalta	O
,	O
you're	O
driving	B
me	I
insane	I
.	O

#	O
TwoThingsThatDontMixWell	O
venlafaxine	O
and	O
alcohol	O
-	O
you'll	O
cry	B
and	O
throw	B
chairs	I
at	O
your	O
mom's	O
BBQ	O
.	O

@	O
pseudodeviant	O
i	O
clock	O
in	O
at	O
16	O
stone	I
(	O
added	B
1	I
stone	I
since	O
quetiapine	O
)	O
and	O
according	O
to	O
that	O
BMI	O
thing	O
I'm	O
obese	O
,	O
which	O
I'm	O
clearly	O
not	O
.	O

I	I
really	O
hate	O
the	O
fact	O
that	O
I	I
feel	B
like	I
I	I
need	I
to	I
throw	I
up	I
while	O
at	O
work	O
.	O
Maybe	O
taking	O
my	O
vyvanse	O
wasn't	O
a	O
good	O
idea	O

@	O
sapphire20	O
to	O
it	O
,	O
and	O
now	O
I'm	O
on	O
Humira	O
with	O
just	O
the	O
bloat	B
to	O
battle	O
.	O
Things	O
sometimes	O
get	O
super	O
shitty	O
in	O
every	O
sense	O
.	O
But	O
stay	O
strong	O
xx	O

Officially	O
addicted	B
to	O
nicotine	O

Levaquin	O
sucks	O
.	O
Blinding	O
headaches	B
.	O
Vomiting	B
.	O
Diarrhea	B
.	O
"	O"
"	O"
Time	O
for	O
my	O
next	O
dose	O
.	O
"	O"
"	O"
Happy	O
weekend	O
.	O
"	O"
"	O"
#	O
tmi	O
#	O
FML	O

@	O
sarahchoueiry	O
@	O
crohns	O
_	O
twins	O
i	O
also	O
have	O
nuasea	B
and	O
low	B
grade	I
temp	I
and	O
on	O
#	O
humira	O
should	O
i	O
go	O
check	O
it	O
out	O
?	O
?	O

Nicotine	O
withdrawals	B
#	O
2DaysDown	O
#	O
ForeverToGo	O
#	O
headache	B
#	O
irritable	B
#	O
toomanyhashtags	O
#	O
makeitstop	O

@	O
Joanne	O
_	O
_	O
Howe	O
I'm	O
good	O
been	O
on	O
25mg	O
MTX	O
for	O
years	O
then	O
switched	O
to	O
leflunomide	B
back	O
MTX	O
the	O
other	O
caused	O
tummy	B
trouble	I
.	O
Why	O
r	O
u	O
off	O
Enbrel	O

@	O
ShipMom	O
Cipro	O
is	O
awful	O
makes	O
me	O
sick	B
as	O
a	O
dog	O
too	O

@	O
DrOz	O
i	O
take	O
Trazodone	O
for	O
my	O
#	O
insomina	B
&	O
still	O
have	O
a	O
hard	O
time	O
falling	O
asleep	O
or	O
I	O
end	O
up	O
having	O
crazy	B
dreams	I
that	O
wake	O
me	O
up	O
!	O
?	O
!	O
#	O
OzSleep	O

although	O
taking	O
it	O
now	O
would	O
run	O
counter	O
to	O
my	O
current	O
food	O
+	O
seroquel	O
=	O
RLS	B
philosophy	O

SO	O
GLAD	O
to	O
have	O
just	O
finished	O
a	O
course	O
of	O
cipro	O
!	O
Fingers	O
crossed	O
I	O
can	O
stay	O
off	O
of	O
nausea	B
inducing	O
meds	O
for	O
the	O
next	O
little	O
while	O
.	O
.	O
.	O

I	O
can	O
feel	O
my	O
heart	O
starting	O
to	O
palpitate	B
from	O
vyvanse	O
,	O
red	O
bull	O
,	O
and	O
nicotine	O
.	O
That's	O
probably	O
par	O
for	O
the	O
course	O
for	O
finals	O
week	O
,	O
right	O
?	O

Day	O
3	O
without	O
#	O
venlafaxine	O
.	O
Worst	O
drug	O
ever	O
to	O
withdraw	B
from	O
?	O
Any	O
support	O
much	O
appreciated	O
!	O

@	O
Marcello	O
I	O
had	O
to	O
take	O
Paroxetine	O
tablets	O
for	O
a	O
year	O
nd	O
a	O
side	O
effect	O
is	O
weight	B
gain	I
,	O
it	O
went	O
to	O
my	O
core	O
.	O
Off	O
them	O
now	O
bt	O
can't	O
shift	O
it	O
!	O

@	O
HospitalPatient	O
have	O
been	O
on	O
Humira	O
2years	O
now	O
n	O
get	O
on	O
off	O
chest	B
infections	I
that	O
sometimes	O
need	O
2diff	O
pills	O
2sort	O
out	O
should	O
I	O
b	O
worried	O
?	O

I	O
think	O
this	O
Olanzapine	O
makes	O
me	O
crazier	B
.	O

@	O
NickysAngelBaby	O
Oy	O
.	O
.	O
I'm	O
allergic	B
to	O
Paxil	O
.	O
Makes	O
me	O
physically	O
puke	B
didn't	O
understand	O
why	O
.	O
I	O
see	O
a	O
Psych	O
.	O
I'm	O
on	O
100mg	O
of	O
Zoloft	O
.	O

@	O
LithiumLibGirl	O
I'm	O
sure	O
it	O
helps	O
that	O
you	O
are	O
so	O
active	O
.	O
I	O
did	O
eventually	O
lose	O
my	O
olanzapine	B
lbs	I
,	O
so	O
there	O
is	O
hope	O
.	O
:	O
)	O

popped	O
a	O
Fluoxetine	O
im	O
sweating	B

@	O
ybnormal622	O
I	O
am	O
on	O
only	O
25mg	O
lamictal	O
but	O
it	O
makes	O
me	O
anxious	B
and	O
insomniac	B
so	O
I	O
skip	O
sometimes	O
and	O
get	O
depressed	B
.	O

SO	O
IT	O
FUCKING	O
TURNS	O
OUT	O
THAT	O
A	O
SIDE	O
EFFECT	O
OF	I
EFFEXOR	O
IS	O
A	O
LOSS	B
OF	I
APPETITE	I

All	B
nighter	I
is	O
killing	O
me	O
right	O
now	O
,	O
I	O
hate	O
you	O
vyvanse	O

@	O
Nichole	O
_	O
Lindsey	O
I've	O
had	O
Cipro	O
before	O
.	O
Luckily	O
for	O
me	O
,	O
the	O
only	O
side	O
fx	O
I	O
tend	O
to	O
get	O
from	O
AB	O
is	O
gastic	B
upset	I
.	O
But	O
I	O
RARELY	O
use	O
AB	O
.	O

02	O
.	O
03	O
Rivaroxaban	O
diary	O
day	O
20	O
.	O
Some	O
neck	B
pain	I
and	O
legs	B
still	I
weak	I
,	O
but	O
feeling	O
much	O
better	O
.	O
Very	O
warm	O
night	O
.	O

#	O
lamotrigine	O
headaches	B
suck	O
:	O
(	O
i	O
wanna	O
curl	O
up	O
&	O
cry	O
.	O

This	O
higher	O
dose	O
of	O
#	O
cymbalta	O
is	O
making	O
me	O
extremely	O
