If you take Byetta, Victoza, or Januvia, read 'Incretins Under Siege?  Don't Jump To Conclusions'  @diabetesblogs - http://ht.ly/meK6k 	0
Side Effects of Levaquin, Cipro May Increase Risk of Kidney Injuries: Study #News #WarningsandStudies #Antibiotics	0
Finding out I'm allergic to fluoxetine was a bit of a shock tho. Mind, only someone from yorkshire could be actually allergic to prozac	1
Weird #Pristiq is sold by #Pfizer but also by #Wyeth	0
Somebody pass the cymbalta	0
@staytiny lozenge shaped arrowheads. Can’t wait to go see that. And get in the giftshop. #fullchainmailoutfitplease	0
Since Enbrel  helped relive my joint pain , my hearings gone , I can't feel my legs ,have 3 eyes, an xtra kid ,but I can still play Golf .	1
Seroquel gives me nightmares every fucking night but I take it anyway	1
@HospitalPatient  have been on Humira 2years now n get on off chest infections that sometimes need 2diff pills 2sort out should I b worried?	1
ah hahaha so that explains it, forgot to take my duloxetine yesterday. you'd think after 7 bloody years I'd forget my SNRI less often.	0
@Fatuglyew thing about venlafaxine is the withdrawals when you're late for a dose - it's like electric shocks in your brain, and they go -	1
Dabigatran not working in this obese pt, maybe contributing to his stroke. Saved by tPA.... Speechlesshttp://www.nejm.org/doi/full/10.1056/NEJMc1215900?af=R&rss=currentIssue&utm_source=feedly …	1
Efficacy and safety of 12-weekly versus 4-weekly zoledronic acid for prolonged treatment of patients with bone metastases from breast…	0
I haven't slept in 2 days due to #vyvanse	1
@TIMEVALUMIKEK thank you.  Am trying to figure out what to do next.  Copaxone, betaseron & now tysabri not working.	0
@1D_Amore @miafierro stfu!! Lol whatever cymbalta.	0
@aleshavovk if you hang out tomorrow with me and cipro youll get dick. not mine. sorry.	0
Spent my 4th making Cipro/Vicodin cocktails. God bless America and prescription drugs!	0
@Zymymar stopped Zoloft cold turkey after I became suicidal, stopped Effexor because I was numb.	1
That prozac life...	0
#dispatches definatly throwing all my victoza in the bin after watching this	0
LEGS LIPS LOVERS LIFE LICKS LOCKS LEMON LIDS LOZENGE	0
If I owned a business I would sell adderall or vyvanse to all of my employees so they would work harder haha	0
Dr. Stephen Huff: pinpoint pupils? Think olanzapine overdose! #demc13	1
@hayleyh79 @PArthritis wow theyre switching me from 8 tabs to injections... Cant get Humira here unless the Welsh Gov say yes lol ....	0
07.58 fay 17 Rivaroxaban diary. I reckon it will take 48 hours to get Rvrxbn out of my body. If I can't get hold of GP today may stop it.	0
@WHUDEY sounds like someone forgot their Prozac again.	0
Writing a love song to Ciprofloxacin #funinthesun	0
FDA Approval of Latuda® (lurasidone HCl) as Monotherapy and Adjunctive Therapy in Adult Patients with Bipolar Depression -...	0
RT @WvSchaik: Antibiotic levels in nature: ciprofloxacin concentration in hospital sewage (2 - 14 ng/ml); municipal sewage (0.1 - 0.3 ng/ml)	0
@Seekerotruth @PAPARAZZINC I'd put Bachman on Seroquel. She needs to be tranquilized. Then add in some booze so her speech would slur.	0
treatment: 1) antibiotic therapy: cotrimazole, ciprofloxacin,cephalosporin,amoxycillin	0
Spana symbol! RT @DjfanaticSA: What a productive day with my niggas at CIPRO	0
@gastromom The only pt of mine who ever died was one age 21 profound autism chronic underwt & GI issues, given lots of Cipro. Terrible	1
17 of the top 20 prescribers of the blood pressure drug Bystolic have received speaking fees from its maker.http://propub.ca/11WKC50 	0
"""do you have any medication allergies?"" ""ASTHMA!!!"" Me: ""........"" Pt: ""no wait. avelox, that's it!"" ""So no other allergies?"" ""RIGHT!"" *cont"	1
@DoctorMcPA  Had my doctor attempted to treat with bactrim prior to Cipro, I wouldn't be crippled today.	1
Playing league while on vyvanse is too damn stressful.  Back to public I go!	1
There is nothing wrong with you that couldn't be cured with Prozac and a hammer	0
Tomorrow is to batch Ciprofloxacin, Wellkid, and Ovacare. Cyanocobalamin is gonna be ready too hmmm...	0
out of my original script for 150mg of effexor xr, I am down to the halfway point...75 mg to go...	0
Question time #crohns #ibd #humira does anyone suffer from egg burps? What works for you	1
"""@AmandaBynes: Twitter Is High School For Adults"" when @AmandaBynes starts making sense I need more paxil"	0
Got offered a seat on the tube this morning. Quetiapine, like pregnancy, but hungrier. #bipolarlifestylechoice	1
Maybe cos of the insulin blocking effect of seroquel but I do feel sugar crashes when eat fast carbs. Will feel ill. So avoid where poss.	1
@Xarelto how much do you charge for this drug? Fascinated by the names but less with the $$. #singlepayernow	0
WHY AM I STILL AWAKE oh shit, cause i left my trazodone in woonsocket, that's why. TWO VICOPROFEN LATER AND I'M STILL HYPED	0
@alldaysmith I covet your Bombay Sapphire....I can only afford Lidl own brand at the moment. And I'm not allowed gin and Prozac....	0
"@neurobonkers also, ""meth mouth"" is really poverty mouth. u don't c when people take it for ADHD. nor in Prozac, which similarly dries mouth"	1
I'm back on Fluoxetine again (anti-depressants and anti- anxiety stuff), which is really good because this is my first step to recovery	0
SAVOR Trial fails to meet primary endpoint to show superiority of #AstraZeneca, Bristol DPP-4 diabetes drug #Onglyza http://www.reuters.com/article/2013/06/19/us-astrazeneca-diabetes-idUSBRE95I06Y20130619 …	0
